Strain	expt	t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
M5	M5,053006	0	100	800	2	632	1	1						
M5	M5,053006	0	100	80	1	NA	3	1			1			
M5	M5,053006	0	100	160	1	NA	3	0	1					
M8	M8,053006	0	100	800	1	1437	15	0	1	1				
M8	M8,053006	0	100	800	2	1514	12	1	1	3				
M8	M8,053006	0	100	80	1	NA	114	4	5					
M8	M8,053006	0	100	160	1	NA	46	2	2					
YPS128	YPS128,053006	0	100	800	1	1502	30	2	0	1				
YPS128	YPS128,053006	0	100	800	2	1421	38	2	0					
YPS128	YPS128,053006	0	100	80	1	NA								
YPS128	YPS128,053006	0	100	160	1	NA	194	59	17					10
YPS163	YPS163,053006	0	100	800	1	1670	14	1			1			
YPS163	YPS163,053006	0	100	800	2	1740	8	0						
YPS163	YPS163,053006	0	100	80	1	NA	130	46	16					
YPS163	YPS163,053006	0	100	160	1	NA	84	47	25					10
														
														
														
														
#	expt	t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
101S	101S,050806	0	100	700	1	1215	6	0	0	2	0	0	3	0
101S	101S,050806	0	100	700	2	1109	3	1	0	2	0	0	3	0
101S	101S,050806	0	100	700	3	1176	3	0	0	1	1	0	0	0
M1-2	M1-2,050806	0	100	700	1	1156	2	0	6	8	8	1	3	0
M1-2	M1-2,050806	0	100	700	2	1126	6	0	5	6	8	2	7	0
M1-2	M1-2,050806	0	100	700	3	1137	1	1	5	15	10	0	2	0
M13	M13,050806	0	100	700	1	1066	2	1	0	0	0	0	0	0
M13	M13,050806	0	100	700	2	1117	0	0	1	0	0	0	1	0
M13	M13,050806	0	100	700	3	1027	2	0	0	0	0	0	3	0
M14	M14,050806	0	100	700	1	557	4	0	0	0	3	0	3	0
M14	M14,050806	0	100	700	2	569	1	0	0	2	2	1	1	0
M14	M14,050806	0	100	700	3	537	6	0	0	1	2	1	0	0
M2-8	M2-8,050806	0	100	700	1	611	2	0	1		0		1	
M2-8	M2-8,050806	0	100	700	2	540	1	1	1		2		1	
M2-8	M2-8,050806	0	100	700	3	589	2	0	0		0			
M32	M32,050806	0	100	700	1	1814	25	1	1	8	8	0	4	
M32	M32,050806	0	100	700	2	1814	23	2	0	6	6	0	5	
M32	M32,050806	0	100	700	3	1930	20	2	6	8	3	2	4	
M5	M5,050806	0	100	700	1	1473	2	0	2	0	0	1	0	0
M5	M5,050806	0	100	700	2	1417	3	2	0	0	0	0	1	0
M5	M5,050806	0	100	700	3	1532	5	2	0	1	1	0	1	0
M8	M8,050806	0	100	700	1	943	3	2	1	2	0	0	1	0
M8	M8,050806	0	100	700	2	977	5	1	2	1	3	0	2	0
M8	M8,050806	0	100	700	3	963	8	1	1	4	2	2	1	0
YPS128	YPS128,050806	0	100	700	1	1794	34	4	1	1	0	0	1	0
YPS128	YPS128,050806	0	100	700	2	1760	41	1	1	0	1	1	2	0
YPS128	YPS128,050806	0	100	700	3	1770	48	6	1	0	0	0	0	0
YPS163	YPS163,050806	0	100	700	1	1755	24	2	1	0	2	0		
YPS163	YPS163,050806	0	100	700	2	1746	31	3	1	1	1	0		1
YPS163	YPS163,050806	0	100	700	3	1844	27	1	1	1	0	0	1	
														
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
101S	101S,030906	0	100	300	1	1905	5	0	0	5	1	0	3	
101S	101S,030906	0	100	300	2	1975	4	1	1	3	1	0	1	
101S	101S,030906	0	100	300	3	2011	8	0	1	2	0	0	2	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M1-2	M1-2,030906	0	100	300	1	2083	3	0	2	3	1	0	1	
M1-2	M1-2,030906	0	100	300	2	2026	6	0	2	1	1	0	0	
M1-2	M1-2,030906	0	100	300	3	1961	2	0	0	1	1	0	1	
														
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M13	M13,013106	0	100	300	1	2536	3	0	1	2	2	0	2	
M13	M13,013106	0	100	300	2	2435	6	1	0	1	0	0	1	
M13	M13,013106	0	100	300	3	2309	5	0	0	1	0	0	2	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M13	M13,121205	0	100	300	1	1835	0	1	1	2	0	0	2	
M13	M13,121205	0	100	300	2	1878	3	1	2	0	5	0	3	
M13	M13,121205	0	100	300	3	1865	2	1	0	1	2	1	1	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M14	M14,013106	0	100	300	1	1245	9	2	2	2	2	0	1	
M14	M14,013106	0	100	300	2	1241	11	2	1	3	1	0	1	
M14	M14,013106	0	100	300	3	1206	12	1	2	1	1	0	0	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M2-8	M2-8,022006	0	100	100	1	2316	5	2	0	0	1	0	0	
M2-8	M2-8,022006	0	100	100	2	2318	6	3	1	0	1	0	1	
M2-8	M2-8,022006	0	100	100	3	2330	7	2	0	0	1	1	1	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M32	M32,022006	0	100	700	1	1499	19	3	0	1	1	0	3	
M32	M32,022006	0	100	700	2	1427	18	3	1	3	1	2	4	
M32	M32,022006	0	100	700	3	1418	17	4	0	1	2	1	4	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M5	M5,032906	0	100	300	1	2512	5	1	0	1	1	0	1	
M5	M5,032906	0	100	300	2	2674	3	0	1	1	0	1	3	
M5	M5,032906	0	100	300	3	2746	5	0	3	3	0	0	0	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
M8	M8,030906	0	100	300	1	1595	11	0	0	5	5	0	5	
M8	M8,030906	0	100	300	2	1589	9	0	2	7	8	3	3	
M8	M8,030906	0	100	300	3	1573	8	0	1	10	7	1	3	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
YPS128	YPS128,013106	0	100	700	1	1695	3	2	0	0	0	0	0	
YPS128	YPS128,013106	0	100	700	2	1750	2	0	1	0	0	0	0	
YPS128	YPS128,013106	0	100	700	3	1671	4	2	0	1	0	0	0	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
YPS128	YPS128,121205	0	100	700	1	1488	7	0	1	0	0	0	0	
YPS128	YPS128,121205	0	100	700	2	1414	5	0	0	0	1	0	1	
YPS128	YPS128,121205	0	100	700	3	1418	3	2	2	0	1	0	0	
#		t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	
YPS163	YPS163,030906	0	100	300	1	3215	13	2	1	0	0	0	0	
YPS163	YPS163,030906	0	100	300	2	3323	4	1	0	0	0	1	1	
